4E9C (亜): アジア,次のランク,後に来ます,〜の特徴を持つ | Asia,rank next,come after,-ous
5516 (唖): ミュート,ダム | mute,dumb
5A03 (娃): 綺麗な | beautiful
963F (阿): アフリカ,平坦,時のFAWN,コーナー,隅,リセス | Africa,flatter,fawn upon,corner,nook,recess
54C0 (哀): 哀れな,悲しみ,悲しみ,哀愁,同情,同情する | pathetic,grief,sorrow,pathos,pity,sympathize
611B (愛): 愛,愛情,お気に入り | love,affection,favourite
6328 (挨): アプローチ,近づく,押し開けます | approach,draw near,push open
59F6 (姶): ハンサム,静か | good-looking,quiet
9022 (逢): 会議,逢い引き,日付,ランデブー | meeting,tryst,date,rendezvous
8475 (葵): タチアオイ | hollyhock
831C (茜): 茜,赤色染料,トルコ赤 | madder,red dye,Turkey red
7A50 (穐): 秋 | autumn
60AA (悪): 悪い,バイス,野郎,偽,悪の,違う | bad,vice,rascal,false,evil,wrong
63E1 (握): グリップ,ホールド,握る,賄賂 | grip,hold,mould sushi,bribe
6E25 (渥): 親切,潤する | kindness,moisten
65ED (旭): 朝日,朝の太陽 | rising sun,morning sun
8466 (葦): リード,蒲 | reed,bullrush
82A6 (芦): リード,蒲 | reed,bullrush
9BF5 (鯵): アジ | horse mackerel
6893 (梓): キササゲの木,上梓 | catalpa tree,woodblock printing
5727 (圧): 圧力,押す,圧倒する,虐げる,支配する | pressure,push,overwhelm,oppress,dominate
65A1 (斡): 行き渡る,ルール,管理する | go around,rule,administer
6271 (扱): ハンドル,楽しませます,脱穀,ストリップ | handle,entertain,thresh,strip
5B9B (宛): 住所,と同じように,幸いにも | address,just like,fortunately
59D0 (姐): 姉,下女 | elder sister,maidservant
867B (虻): あぶ,アブ | gadfly,horsefly
98F4 (飴): 米ゼリー,キャンディ | rice jelly,candy
7D62 (絢): 鮮やかなファブリックデザイン | brilliant fabric design
7DBE (綾): 設計,紋織物,ツイル | design,figured cloth,twill
9B8E (鮎): 鮎,ワカサギ | freshwater trout,smelt
6216 (或): 一部,1,または,たぶん,一定 | some,one,or,possibly,a certain
7C9F (粟): キビ | millet
88B7 (袷): 袷） | lined (kimono)
5B89 (安): リラックス,安い,低い,静か,休養,満足しました,穏やかな | relax,cheap,low,quiet,rested,contented,peaceful
5EB5 (庵): 庵,退却 | hermitage,retreat
6309 (按): ホールド,考える,調査する | hold,consider,investigate
6697 (暗): 闇,姿を消す,シェード,非公式,暗くなる,盲検化され | darkness,disappear,shade,informal,grow dark,be blinded
6848 (案): 計画,提案,ドラフト,熟考する,恐れ,命題,アイディア,期待,心配,表,ベンチ | plan,suggestion,draft,ponder,fear,proposition,idea,expectation,worry,table,bench
95C7 (闇): 暗くなる,暗がり,障害 | get dark,gloom,disorder
978D (鞍): サドル | saddle
674F (杏): アプリコット | apricot
4EE5 (以): による,なぜなら,を考慮して,と比べて | by means of,because,in view of,compared with
4F0A (伊): イタリア,それ | Italy,that one
4F4D (位): ランク,グレード,王位,クラウン,約,一部 | rank,grade,throne,crown,about,some
4F9D (依): 依存,頼る,その結果として,従って,のため | reliant,depend on,consequently,therefore,due to
5049 (偉): 立派な,偉大,顕著,思い上がりました,有名な,優れた | admirable,greatness,remarkable,conceited,famous,excellent
56F2 (囲): 囲む,包囲する,格納,柵,囲い,取り囲む,保存する,キープ | surround,besiege,store,paling,enclosure,encircle,preserve,keep
5937 (夷): 野蛮人,野蛮な,アイヌ | barbarian,savage,Ainu
59D4 (委): 委員会,任せます,任する,ささげる,捨てます | committee,entrust to,leave to,devote,discard
