73FE (現): 現在,既存の,実際 | present,existing,actual
7D43 (絃): 文字列,コード,三味線音楽 | string,cord,samisen music
8237 (舷): ガンネル | gunwale
8A00 (言): いう,単語 | say,word
8AFA (諺): ことわざ | proverb
9650 (限): リミット,制限します,極力 | limit,restrict,to best of ability
4E4E (乎): クエッションマーク,？ | question mark,?
500B (個): 個人,記事のためのカウンタ | individual,counter for articles
53E4 (古): 古い | old
547C (呼): コール,を呼び出します,招待 | call,call out to,invite
56FA (固): 固めます,セット,血餅,凝固させます | harden,set,clot,curdle
59D1 (姑): 義理の母 | mother-in-law
5B64 (孤): 孤児,一人で | orphan,alone
5DF1 (己): 自己 | self
5EAB (庫): 倉庫,倉庫 | warehouse,storehouse
5F27 (弧): アーク,アーチ,弓 | arc,arch,bow
6238 (戸): ドア,住宅用カウンター,ドアラジカル（NO。63） | door,counter for houses,door radical (no. 63)
6545 (故): 偶然の出来事,特に,意図的に,理由,原因,状況,遅く,従って,その結果として | happenstance,especially,intentionally,reason,cause,circumstances,the late,therefore,consequently
67AF (枯): 枯れます,死にます,干上がります,味付けします | wither,die,dry up,be seasoned
6E56 (湖): 湖 | lake
72D0 (狐): 狐 | fox
7CCA (糊): ペースト,のり,サイズ剤 | paste,glue,sizing
88B4 (袴): メンズフォーマル分割スカート | men\'s formal divided skirt
80A1 (股): 大腿,股 | thigh,crotch
80E1 (胡): 野蛮人,外国の | barbarian,foreign
83F0 (菰): リードは艶消しのために使用しました | reed used for matting
864E (虎): 虎,酔っぱらい | tiger,drunkard
8A87 (誇): 自慢,誇りに思う,誇り,勝ち誇って | boast,be proud,pride,triumphantly
8DE8 (跨): あります,座るかにまたがって立ちます,広がります,ストラドル | be,sit or stand astride,extend over,straddle
9237 (鈷): コバルト | cobalt
96C7 (雇): 採用します,雇う | employ,hire
9867 (顧): 振り返ります,レビュー,自分を調べます,振り向く | look back,review,examine oneself,turn around
9F13 (鼓): ドラム,ビート,ラウズ,奮い起こします | drum,beat,rouse,muster
4E94 (五): 五 | five
4E92 (互): 互いに,相互に,一緒に | mutually,reciprocally,together
4F0D (伍): 五,5人の分隊,ファイル,ライン | five,five-man squad,file,line
5348 (午): 正午,馬の兆候,11 AM-1PM,干支の第七の兆候 | noon,sign of the horse,11AM-1PM,seventh sign of Chinese zodiac
5449 (呉): 与える,ために何かをします,呉の王国 | give,do something for,kingdom of Wu
543E (吾): 私,じぶんの,私たちの,自分の | I,my,our,one\'s own
5A2F (娯): レクリエーション,喜び | recreation,pleasure
5F8C (後): 後ろに,バック,後で | behind,back,later
5FA1 (御): 立派な,操作します,支配します | honorable,manipulate,govern
609F (悟): 啓発,気付きます,識別する,実現します,わかる | enlightenment,perceive,discern,realize,understand
68A7 (梧): あおぎり,フェニックスの木 | Chinese parasol tree,phoenix tree
6A8E (檎): 林檎 | apple
745A (瑚): 祖先提供レセプタクル,コーラル | ancestral offering receptacle,coral
7881 (碁): 行きます | Go
8A9E (語): 単語,スピーチ,言語 | word,speech,language
8AA4 (誤): 間違い,誤ります,悪を行います,欺きます | mistake,err,do wrong,mislead
8B77 (護): 守ります,守ります | safeguard,protect
9190 (醐): 煮バター | boiled butter
4E5E (乞): 頼みます,招待,頼みます | beg,invite,ask
9BC9 (鯉): 鯉 | carp
4EA4 (交): 混ぜます,混合,協会,到来 ＆; 行き | mingle,mixing,association,coming &amp; going
4F7C (佼): 綺麗な,賢いです,欺く,ずる賢いです | beautiful,clever,deceive,sly
4FAF (侯): 侯爵,主,大名 | marquis,lord,daimyo
5019 (候): 気候,シーズン,天気,を待つ,期待します | climate,season,weather,wait for,expect
5016 (倖): 幸福,運 | happiness,luck
5149 (光): 線,光 | ray,light
516C (公): パブリック,王子,公式,政府の | public,prince,official,governmental
529F (功): 成果,本案,成功,名誉,クレジット | achievement,merits,success,honor,credit
52B9 (効): 値する,効能,効率,利益 | merit,efficacy,efficiency,benefit
52FE (勾): 曲げること,スロープ,キャプチャー | be bent,slope,capture
539A (厚): 厚いです,ヘビー,リッチ,種類,心のこもった,厚かましい,恥知らずな | thick,heavy,rich,kind,cordial,brazen,shameless
