7A3F (稿): ドラフト,コピー,原稿,ストロー | draft,copy,manuscript,straw
7CE0 (糠): 米ぬか | rice bran
7D05 (紅): 真紅,深い赤色 | crimson,deep red
7D18 (紘): 大 | large
7D5E (絞): 絞め殺します,締め付けます,絞ります | strangle,constrict,wring
7DB1 (綱): 大綱,クラス（属）,ロープ,コード,ケーブル | hawser,class (genus),rope,cord,cable
8015 (耕): 迄,プラウ,耕す | till,plow,cultivate
8003 (考): 考えます,熟考します | consider,think over
80AF (肯): 契約,同意,に適応 | agreement,consent,comply with
80B1 (肱): 能力,才能,肘,腕 | ability,talent,elbow,arm
8154 (腔): 体腔 | body cavity
818F (膏): 脂肪,グリース,ラード,ペースト,軟膏,石膏 | fat,grease,lard,paste,ointment,plaster
822A (航): ナビゲート,帆,クルーズ,飛ぶ | navigate,sail,cruise,fly
8352 (荒): 敷設廃棄物,ラフ,無礼な,野生 | laid waste,rough,rude,wild
884C (行): 行き,旅,実施する,行動,行為,ライン,行,バンク | going,journey,carry out,conduct,act,line,row,bank
8861 (衡): 平衡,物差し,規模 | equilibrium,measuring rod,scale
8B1B (講): 講義,クラブ,協会 | lecture,club,association
8CA2 (貢): 賛辞,サポート,ファイナンス | tribute,support,finance
8CFC (購): サブスクリプション,購入 | subscription,buy
90CA (郊): 周辺,郊外,農村地域 | outskirts,suburbs,rural area
9175 (酵): 発酵 | fermentation
9271 (鉱): ミネラル,鉱石 | mineral,ore
783F (砿): 鉱石 | ore
92FC (鋼): 鋼 | steel
95A4 (閤): 小さなサイドゲート | small side gate
964D (降): 下ります,沈殿させます,秋,降伏 | descend,precipitate,fall,surrender
9805 (項): 段落,襟首,句,項目,用語（表現） | paragraph,nape of neck,clause,item,term (expression)
9999 (香): 香,香り,香水 | incense,smell,perfume
9AD8 (高): 背の高いです,高い,高価な | tall,high,expensive
9D3B (鴻): 大型の鳥,雁,大,すばらしいです,強力な,豊かな | large bird,wild goose,large,great,powerful,prosperous
525B (剛): 頑丈,力 | sturdy,strength
52AB (劫): 脅威,長い年齢 | threat,long ages
53F7 (号): ニックネーム,数,項目,タイトル,仮名,名,コール | nickname,number,item,title,pseudonym,name,call
5408 (合): フィット,スーツ,参加します,0.1 | fit,suit,join,0.1
58D5 (壕): 溝,ダッグアウト,防空壕 | trench,dugout,air raid shelter
62F7 (拷): 拷問,ビート | torture,beat
6FE0 (濠): 堀,溝,運河,オーストラリア | moat,ditch,canal,Australia
8C6A (豪): 強烈な,すばらしいです,強力な,優れ,オーストラリア | overpowering,great,powerful,excelling,Australia
8F5F (轟): とどろき,サンダー,ブーム響きます | roar,thunder,boom resound
9EB9 (麹): 麦芽,酵母 | malt,yeast
514B (克): 克服します,親切に,巧みに | overcome,kindly,skillfully
523B (刻): 刻みます,みじん切りにします,チョップ,ハッシュ,ミンチ,時間,彫刻 | engrave,cut fine,chop,hash,mince,time,carving
544A (告): 啓示,伝えます,知らせます,アナウンス | revelation,tell,inform,announce
56FD (国): 国 | country
7A40 (穀): コーンフレーク,粒 | cereals,grain
9177 (酷): 残酷な,厳しいです,凶悪な,不当な | cruel,severe,atrocious,unjust
9D60 (鵠): 白鳥 | swan
9ED2 (黒): 黒 | black
7344 (獄): 刑務所,刑務所 | prison,jail
