5F69 (彩): 着色,ペイント,化粧 | coloring,paint,makeup
624D (才): 天才,歳,立方尺 | genius,years old,cubic shaku
63A1 (採): 選ぶ,取る,フェッチ,取り上げる | pick,take,fetch,take up
683D (栽): プランテーション,植付 | plantation,planting
6B73 (歳): 年末,年齢,時,機会 | year-end,age,occasion,opportunity
6E08 (済): 仕上げ,終わります,許されます,必要はありません | finish,come to an end,excusable,need not
707D (災): 災害,災害,悲哀,呪い,悪の | disaster,calamity,woe,curse,evil
91C7 (采): サイコロ,形,外観,取る,ギャザー,着色 | dice,form,appearance,take,gather,coloring
7280 (犀): サイ | rhinocerous
7815 (砕): スマッシュ,ブレーク,クラッシュ,おなじみの,人気のあります | smash,break,crush,familiar,popular
7826 (砦): 砦,牙城,塹壕 | fort,stronghold,entrenchments
796D (祭): 儀式,祈りをささげます,祝う,祭ります,祭ります,崇拝 | ritual,offer prayers,celebrate,deify,enshrine,worship
658E (斎): 精製,仏教の食品,ルーム,崇拝,避ける,同様に | purification,Buddhist food,room,worship,avoid,alike
7D30 (細): きゃしゃな,痩せます,テーパー,細い,狭い,詳しいです,正確な | dainty,get thin,taper,slender,narrow,detailed,precise
83DC (菜): 野菜,サイドディッシュ,菜 | vegetable,side dish,greens
88C1 (裁): テーラー,裁判官,決定,（パターン）を切り出します | tailor,judge,decision,cut out (pattern)
8F09 (載): ライド,ボード,乗る,場所,スプレッド,10 ** 44,記録,パブリッシュ | ride,board,get on,place,spread,10**44,record,publish
969B (際): 時,側,エッジ,寸前,危険な,冒険好きな,下品な,時間,いつ | occasion,side,edge,verge,dangerous,adventurous,indecent,time,when
5264 (剤): 用量,医学,ドラッグ | dose,medicine,drug
5728 (在): 存在します,周辺,郊外,にあります | exist,outskirts,suburbs,located in
6750 (材): 木材,ログ,木材,木材,材料,材料,才能 | lumber,log,timber,wood,materials,ingredients,talent
7F6A (罪): 罪,罪,犯罪,障害,非難,犯罪 | guilt,sin,crime,fault,blame,offense
8CA1 (財): プロパティ,お金,富,資産 | property,money,wealth,assets
51B4 (冴): 明確にします,穏やかな,コールド,巧妙 | be clear,serene,cold,skilful
5742 (坂): スロープ,傾斜,丘 | slope,incline,hill
962A (阪): ハイツ,スロープ | heights,slope
583A (堺): 世界 | world
698A (榊): 榊,（kokuji） | sacred Shinto tree,(kokuji)
80B4 (肴): 飲み物のための伴奏 | accompaniment for drinks
54B2 (咲): 花,咲く | blossom,bloom
5D0E (崎): 岬,ケープ,串 | promontory,cape,spit
57FC (埼): ケープ,串,岬 | cape,spit,promontory
7895 (碕): ケープ,串,岬 | cape,spit,promontory
9DFA (鷺): 鷺 | heron
4F5C (作): 作ります,製造,準備します,ビルド | make,production,prepare,build
524A (削): 飛行機,研ぎます,削ります,皮をむきます,剃ります | plane,sharpen,whittle,pare,shave
548B (咋): シャウト,かみます,食べる | shout,chew,eat
643E (搾): スクイーズ | squeeze
6628 (昨): 昨日,前 | yesterday,previous
6714 (朔): 併せて（天文学）,月の最初の日,北 | conjunction (astronomy),first day of month,north
67F5 (柵): 防御柵,フェンス,堰,周囲に絡ませ | stockade,fence,weir,entwine around
7A84 (窄): 狭い,折り畳みます,燃料,肩をすくめる,しわ,シャット,閉じる | narrow,fold,furl,shrug,pucker,shut,close
7B56 (策): スキーム,計画,ポリシー,ステップ,手段 | scheme,plan,policy,step,means
7D22 (索): コード,ロープ,検索,問い合わせ | cord,rope,searching,inquiring
932F (錯): 混乱しました,ミックス,散らかります | confused,mix,be in disorder
685C (桜): チェリー | cherry
9BAD (鮭): 鮭 | salmon
7B39 (笹): 笹,（kokuji） | bamboo grass,(kokuji)
5319 (匙): スプーン | spoon
518A (冊): 私に,冊,ボリューム | tome,counter for books,volume
5237 (刷): 印刷,印刷,みがきます | printing,print,brush
5BDF (察): 推測,推定する,推量します,裁判官,わかる | guess,presume,surmise,judge,understand
62F6 (拶): 差し迫ったこと,近づきます | be imminent,draw close
64AE (撮): スナップショット,写真を撮る | snapshot,take pictures
64E6 (擦): 火格子,こする,スクラッチ,擦り傷,すり減らします,磨きます | grate,rub,scratch,scrape,chafe,scour
672D (札): タグ,紙幣,債券のカウンタ,プラカード,入札 | tag,paper money,counter for bonds,placard,bid
6BBA (殺): 殺します,殺人,肉屋,切り取ります,スプリット,減少します,減らします,台無し | kill,murder,butcher,slice off,split,diminish,reduce,spoil
85A9 (薩): 仏 | Buddha
96D1 (雑): 雑多 | miscellaneous
7690 (皐): 沼地,海岸 | swamp,shore
9BD6 (鯖): サバ | mackerel
