6B89 (殉): 殉教,辞任によって従ってください | martyrdom,follow by resigning
6DF3 (淳): ピュア | pure
6E96 (準): 半,対応する,に比例,合わせます,模倣します | semi-,correspond to,proportionate to,conform,imitate
6F64 (潤): ぬれました,潤います,潤います,給付を受けます,好意,チャーム,急な | wet,be watered,profit by,receive benefits,favor,charm,steep
76FE (盾): シールド,盾,口実 | shield,escutcheon,pretext
7D14 (純): 純正,純度,イノセンス,純利益） | genuine,purity,innocence,net (profit)
5DE1 (巡): パトロール,行き渡る,周 | patrol,go around,circumference
9075 (遵): 従います,続きます,従う,学びます | abide by,follow,obey,learn
51E6 (処): 処分します,管理します,扱う,文,非難します,行為,振る舞います,場所 | dispose,manage,deal with,sentence,condemn,act,behave,place
521D (初): 初めて,開始 | first time,beginning
6240 (所): 場所 | place
6691 (暑): 蒸し暑い,ホット,夏の暑さ | sultry,hot,summer heat
66D9 (曙): 夜明け,夜明け | dawn,daybreak
6E1A (渚): ストランド,ビーチ,海岸 | strand,beach,shore
5EB6 (庶): 平民,すべて,クソ野郎 | commoner,all,bastard
7DD2 (緒): トング,開始,開始,終わり,コード,ストラップ,精神や感情の状態 | thong,beginning,inception,end,cord,strap,mental or emotional state
7F72 (署): 署名,ガバメントオフィス,警察署 | signature,govt office,police station
66F8 (書): 書きます | write
85AF (薯): ポテト | potato
85F7 (藷): ポテト | potato
8AF8 (諸): さまざまな,たくさんの,いくつかの,一緒に | various,many,several,together
52A9 (助): 助けて,レスキュー,支援する | help,rescue,assist
53D9 (叙): 与える,関連します,物語ります,説明します | confer,relate,narrate,describe
5973 (女): 女性たち,女性 | woman,female
5E8F (序): 序文,開始,注文,順位,時,チャンス,ちなみに | preface,beginning,order,precedence,occasion,chance,incidentally
5F90 (徐): 徐々に,ゆっくり,意図的に,優しく | gradually,slowly,deliberately,gently
6055 (恕): 言い訳,耐えます,許します | excuse,tolerate,forgive
92E4 (鋤): アップスペード,プラウ | spade up,plow
9664 (除): 除外する,除算（X / 3）,削除します,廃止します,キャンセル,除きます | exclude,division (x/3),remove,abolish,cancel,except
50B7 (傷): 創傷,傷つけます,傷つけます,損ないます,痛み,損傷,カット,切り傷,傷跡,弱点 | wound,hurt,injure,impair,pain,injury,cut,gash,scar,weak point
511F (償): 賠償,補います,報いる,買い戻します | reparation,make up for,recompense,redeem
52DD (勝): 勝利,勝つ,勝ちます,エクセル | victory,win,prevail,excel
5320 (匠): 職人,職人,大工 | artisan,workman,carpenter
5347 (升): 測定ボックス,1.8リットル | measuring box,1.8 liter
53EC (召): 誘惑します,コール,ために送信します,着る,着る,乗ります,購入,食べる,ドリンク,風邪をひく） | seduce,call,send for,wear,put on,ride in,buy,eat,drink,catch (cold)
54E8 (哨): スカウト,センチネル | scout,sentinel
5546 (商): 取引をする,販売,扱います,商人 | make a deal,selling,dealing in,merchant
5531 (唱): 聖歌,暗唱します,呼びかける,エール | chant,recite,call upon,yell
5617 (嘗): かつて,前,以前は,これまで,決して,EX-,なめます,なめ尽くします,燃え尽きます,味,受けます,過小評価されました,軽蔑します | once,before,formerly,ever,never,ex-,lick,lap up,burn up,taste,undergo,underrate,despise
5968 (奨): 熱心に勧めます,衝動,奨励します | exhort,urge,encourage
59BE (妾): 側室 | concubine
5A3C (娼): 売春婦 | prostitute
5BB5 (宵): 未明,イブニング,早期の夜 | wee hours,evening,early night
5C06 (将): リーダー,司令官,一般的な,提督,または,そしてまた,すぐに,今後,ほぼ | leader,commander,general,admiral,or,and again,soon,from now on,just about
5C0F (小): 少し,小さい | little,small
5C11 (少): 少数,少し | few,little
5C1A (尚): 尊敬,さらに,まだ,まだ | esteem,furthermore,still,yet
5E84 (庄): レベル,国内に,荘園,村,ハムレット | level,in the country,manor,village,hamlet
5E8A (床): ベッド,ベッド用のカウンタ,床,パディング,畳 | bed,counter for beds,floor,padding,tatami
5EE0 (廠): ワークショップ | workshop
5F70 (彰): 特許,クリア | patent,clear
627F (承): 黙従,ハート,聞く,知らされる,受け取ります | acquiesce,hear,listen to,be informed,receive
6284 (抄): エキス,選択,概要,コピー,薄く広がります | extract,selection,summary,copy,spread thin
62DB (招): 手招きします,招待,サモン,従事する | beckon,invite,summon,engage
638C (掌): 操作します,ルール,管理します,行動,手のひら | manipulate,rule,administer,conduct,palm of hand
6377 (捷): 勝利,速いです | victory,fast
6607 (昇): 立ち上がる | rise up
660C (昌): 豊かな,鮮やか,クリア | prosperous,bright,clear
662D (昭): シャイニング,鮮やか | shining,bright
6676 (晶): 輝く,クリア,結晶 | sparkle,clear,crystal
677E (松): 松の木 | pine tree
68A2 (梢): 梢,小枝 | treetops,twig
6A1F (樟): 樟脳 | camphor
6A35 (樵): 木材伐採,木こり | woodcutting,lumberjack
6CBC (沼): 湿地,湖,湿原,沼地,池 | marsh,lake,bog,swamp,pond
6D88 (消): 消します,吹き消す,消す,中和します,キャンセル | extinguish,blow out,turn off,neutralize,cancel
