8870 (衰): 低下,衰え,弱める | decline,wane,weaken
9042 (遂): 完璧な,成し遂げます,達成します,コミット（自殺） | consummate,accomplish,attain,commit (suicide)
9154 (酔): 酔っぱらい,体調が悪い,毒入りの,得意の,魅せられました | drunk,feel sick,poisoned,elated,spellbound
9310 (錐): オーガ,ドリル,千枚通し,ピラミッド,円錐 | auger,drill,awl,pyramid,cone
9318 (錘): 重量,下げ振り,シンカー,スピンドル | weight,plumb bob,sinker,spindle
968F (随): 続きます,しかし,にもかかわらず,同時に,間に,どちらも,すべて,従う,提出する,従います,（波）のなすがままに | follow,though,notwithstanding,while,during,both,all,obey,submit to,comply,at the mercy of (the waves)
745E (瑞): おめでとうございます | congratulations
9AC4 (髄): 骨髄,髄,エッセンス | marrow,pith,essence
5D07 (崇): 崇拝します,尊敬,あがめます,崇拝 | adore,respect,revere,worship
5D69 (嵩): 悪化します,悪くなります,かさばる成長,うねり | be aggravated,grow worse,grow bulky,swell
6570 (数): 数,力,運命,法律,統計 | number,strength,fate,law,figures
67A2 (枢): ヒンジ,ピボット,ドア | hinge,pivot,door
8DA8 (趨): ラン,行きます,クイック,向かいます | run,go,quick,tend towards
96DB (雛): ひよこ,孵りたての,アヒルの子,人形 | chick,squab,duckling,doll
636E (据): セット,基盤を築きます,インストール,装備します,しゃがみます,座って下さい | set,lay a foundation,install,equip,squat down,sit down
6749 (杉): ヒマラヤスギ,スギ | cedar,cryptomeria
6919 (椙): 杉,スギ,（kokuji） | Japanese cedar,cryptomeria,(kokuji)
83C5 (菅): スゲ | sedge
9817 (頗): 偏見を持ちました,極めて | prejudiced,exceedingly
96C0 (雀): スズメ | sparrow
88FE (裾): 袖口,裾,山のふもと | cuff,hem,foot of mountain
6F84 (澄): 明快,明確にします,クリア,明らかにする,落ち着きます,歪み,墓を見て | lucidity,be clear,clear,clarify,settle,strain,look grave
647A (摺): こする,折り畳みます,印刷（布の上） | rub,fold,print (on cloth)
5BF8 (寸): 測定,尺の第十,少し,小さい | measurement,tenth of a shaku,a little,small
4E16 (世): 世代,世界,社会,パブリック | generation,world,society,public
702C (瀬): 早瀬,現在,急流,浅瀬,浅瀬 | rapids,current,torrent,shallows,shoal
755D (畝): 畝間,30坪,リッジ,リブ | furrow,thirty tsubo,ridge,rib
662F (是): ちょうどそう,この,右,正義 | just so,this,right,justice
51C4 (凄): 異様な,奇妙な,脅迫的な,恐ろしい | uncanny,weird,threatening,horrible
5236 (制): システム,法律,ルール | system,law,rule
52E2 (勢): 軍隊,エネルギー,軍事力 | forces,energy,military strength
59D3 (姓): 姓 | surname
5F81 (征): 意のままに操ります,反抗を攻撃,税金を取り立てます | subjugate,attack the rebellious,collect taxes
6027 (性): セックス,性別,自然 | sex,gender,nature
6210 (成): 変わります,なります,取得する,成長します,経過,リーチ | turn into,become,get,grow,elapse,reach
653F (政): 政治,政府 | politics,government
6574 (整): 整理します,配置,曲,トーン,メーター,キー（音楽） | organize,arranging,tune,tone,meter,key (music)
661F (星): 星,スポット,ドット,マーク | star,spot,dot,mark
6674 (晴): 片付ける | clear up
68F2 (棲): ライブ,ドエル | live,dwell
6816 (栖): ネスト,巣,ハイブ,クモの巣,デン | nest,rookery,hive,cobweb,den
6B63 (正): 正しい,正義,正しいです,10 ** 40 | correct,justice,righteous,10**40
6E05 (清): ピュア,浄化します,清めます,追い払います,満州王朝 | pure,purify,cleanse,exorcise,Manchu dynasty
7272 (牲): 動物のいけにえ,募集 | animal sacrifice,offering
751F (生): 生活,純正,誕生 | life,genuine,birth
76DB (盛): ブーム,栄えます,交尾します | boom,prosper,copulate
7CBE (精): 洗練されました,幽霊,妖精,エネルギー,活力,精液,優秀,純度,技能 | refined,ghost,fairy,energy,vitality,semen,excellence,purity,skill
8056 (聖): 聖なる,聖人,セージ,マスター,祭司 | holy,saint,sage,master,priest
58F0 (声): 音声 | voice
