6247 (扇): ファン,扇子 | fan,folding fan
64B0 (撰): 構成します,編集,コンパイル,選択 | composing,editing,compiling,selecting
6813 (栓): プラグ,ボルト,コルク,チーン,ストッパー | plug,bolt,cork,bung,stopper
6834 (栴): カエデ,カラフルな紅葉 | maple tree,colorful autumn foliage
6CC9 (泉): 春,噴水 | spring,fountain
6D45 (浅): 浅い,表面的な,軽薄,悲惨な,恥ずべき | shallow,superficial,frivolous,wretched,shameful
6D17 (洗): ウォッシュ,調査します,プローブ | wash,inquire into,probe
67D3 (染): 染料,色,ペイント,染色,印刷 | dye,color,paint,stain,print
6F5C (潜): 水没,隠す,隠す,下（声）,ハッシュ | submerge,conceal,hide,lower (voice),hush
714E (煎): 焼きます,パッチ,ロースト,沸騰 | broil,parch,roast,boil
717D (煽): ファン,フラップ,扇動します,かき混ぜます,アップ強化,ガブガブ飲みます | fan,flap,instigate,agitate,bolster up,gulp down
65CB (旋): 回転,行き渡る | rotation,go around
7A7F (穿): （フィート）上に置きます,掘る,ピアス,ドリル | put on (to the feet),dig,pierce,drill
7BAD (箭): 矢印 | arrow
7DDA (線): ライン,トラック | line,track
7E4A (繊): 細い,罰金,薄い着物 | slender,fine,thin kimono
7FA8 (羨): うらやましいです,うらやみます,切望します | envious,be jealous,covet
817A (腺): 腺 | gland
821B (舛): ラジカルダンス（なし。136） | dancing radical (no. 136)
8239 (船): 船,ボート | ship,boat
85A6 (薦): 推奨します,マット,アドバイス,奨励します,提供 | recommend,mat,advise,encourage,offer
8A6E (詮): 討論,以下のために呼び出されたメソッド,選択,結果 | discussion,methods called for,selection,result
8CCE (賎): 軽蔑します,低ライフ,貧困 | despise,low-life,poverty
8DF5 (践): トレッド,踏む,トランプル,練習,やり遂げます | tread,step on,trample,practice,carry through
9078 (選): 選民,選択します,選ぶ,好む | elect,select,choose,prefer
9077 (遷): 遷移,移動,変化する | transition,move,change
92AD (銭): コイン,0.01円,お金 | coin,.01 yen,money
9291 (銑): 銑鉄 | pig iron
9583 (閃): フラッシュ,振り回す | flash,brandish
9BAE (鮮): 新鮮な,鮮やか,クリア,ブリリアント,韓国 | fresh,vivid,clear,brilliant,Korea
524D (前): 前に,前 | in front,before
5584 (善): 高潔な,良い,善 | virtuous,good,goodness
6F38 (漸): 着実に,徐々に高度,最後に,かろうじて | steadily,gradually advancing,finally,barely
7136 (然): 事の並べ替え,そう,もしそうなら,その場合には,よく | sort of thing,so,if so,in that case,well
5168 (全): 全体,全体,すべて,コンプリート,満たす | whole,entire,all,complete,fulfill
7985 (禅): 禅,黙想 | Zen,silent meditation
7E55 (繕): 穴かがり,修復,修理,トリム,片付ける,調整します | darning,repair,mend,trim,tidy up,adjust
81B3 (膳): 小さなローテーブル,トレイ | small low table,tray
