51E7 (凧): 凧,（kokuji） | kite,(kokuji)
86F8 (蛸): たこ | octopus
53EA (只): のみ,フリー,加えて | only,free,in addition
53E9 (叩): ストライク,ビート,ヒット,スラッシュ,批判します | strike,beat,hit,thrash,criticize
4F46 (但): しかしながら,だけど | however,but
9054 (達): 達成,リーチ,到着します,達成します | accomplished,reach,arrive,attain
8FB0 (辰): 竜の兆候,7-9AM,干支の第五の兆候,すね竜ラジカル（NO。161） | sign of the dragon,7-9AM,fifth sign of Chinese zodiac,shin dragon radical (no. 161)
596A (奪): 奪います,奪い取ります,奪います,取り上げます,略奪,奪う | rob,take by force,snatch away,dispossess,plunder,usurp
8131 (脱): ふだん着,取り外し,から脱出する,取り除く,省略されます,離陸 | undress,removing,escape from,get rid of,be left out,take off
5DFD (巽): 南東 | southeast
7AEA (竪): 長さ,高さ,ワープ | length,height,warp
8FBF (辿): 従ってください（道路）,追求します | follow (road),pursue
68DA (棚): 棚,レッジ,ラック,マウント,マントル,トレリス | shelf,ledge,rack,mount,mantle,trellis
8C37 (谷): 谷 | valley
72F8 (狸): たぬき,ラクーン | tanuki,raccoon
9C48 (鱈): タラ,（kokuji） | codfish,(kokuji)
6A3D (樽): バレル,キャスク,ケグ | barrel,cask,keg
8AB0 (誰): 誰,誰か,誰か | who,someone,somebody
4E39 (丹): さび色の,赤,鉛丹,丸,誠実 | rust-colored,red,red lead,pills,sincerity
5358 (単): シンプル,1,シングル,単に | simple,one,single,merely
5606 (嘆): ため息,嘆く,うめき声,悲しみます,憧れの兆候 | sigh,lament,moan,grieve,sigh of admiration
5766 (坦): レベル,ワイド | level,wide
62C5 (担): 背負っ,キャリー,レイズ,くま | shouldering,carry,raise,bear
63A2 (探): 手探り,サーチ,探す | grope,search,look for
65E6 (旦): 夜明け,夜明け,朝 | daybreak,dawn,morning
6B4E (歎): 悲しみ,嘆き | grief,lamentation
6DE1 (淡): 薄いです,かすかな,淡いです,つかの間の | thin,faint,pale,fleeting
6E5B (湛): 埋めます,着用（笑）,クリア,ピュア,密集,深い | fill,wear (a smile),clear,pure,dense,deep
70AD (炭): 木炭,石炭 | charcoal,coal
77ED (短): ショート,簡潔,障害,欠陥,弱点 | short,brevity,fault,defect,weak point
7AEF (端): エッジ,原点,終わり,ポイント,境界,寸前,ケープ | edge,origin,end,point,border,verge,cape
7BAA (箪): 竹米のバスケット | bamboo rice basket
7DBB (綻): 家賃こと,引き裂かれました,解きます,ラン,綻びます,笑顔 | be rent,ripped,unravel,run,begin to open,smile
803D (耽): はまって,で吸収 | addicted,absorbed in
80C6 (胆): 胆嚢,勇気,摘みます,神経 | gall bladder,courage,pluck,nerve
86CB (蛋): 野蛮人,卵 | barbarian,egg
8A95 (誕): 降誕,生まれます,語形変化,うそ,任意で | nativity,be born,declension,lie,be arbitrary
935B (鍛): フォージ,規律,列車 | forge,discipline,train
56E3 (団): グループ,協会 | group,association
58C7 (壇): 表彰台,ステージ,演壇,テラス | podium,stage,rostrum,terrace
5F3E (弾): 弾丸,鼻声訛り,フリップ,スナップ | bullet,twang,flip,snap
65AD (断): 切断,低下,ごみ,謝ります,警告します,退けます,禁止する,決定,判定,切断 | severance,decline,refuse,apologize,warn,dismiss,prohibit,decision,judgement,cutting
6696 (暖): 暖かさ | warmth
6A80 (檀): ヒマラヤスギ,白檀材,スピンドルツリー | cedar,sandlewood,spindle tree
6BB5 (段): グレード,ステップ,階段 | grade,steps,stairs
7537 (男): 男性 | male
8AC7 (談): 話し合います,トーク | discuss,talk
5024 (値): 価格,コスト,値 | price,cost,value
77E5 (知): 知っています,知恵 | know,wisdom
5730 (地): 接地,地球 | ground,earth
5F1B (弛): 緩みます,リラックス | slacken,relax
6065 (恥): 恥,不名誉 | shame,dishonor
667A (智): 知恵,知性,理由 | wisdom,intellect,reason
6C60 (池): 池,水槽,プール,貯水池 | pond,cistern,pool,reservoir
75F4 (痴): 愚か,愚かな | stupid,foolish
7A1A (稚): 未熟,若い | immature,young
7F6E (置): 配置,置きます,セット,保証金,残す,キープ,採用します,ポーン | placement,put,set,deposit,leave behind,keep,employ,pawn
81F4 (致): doの三人称単数・直説法現在形,行う,送信,フォワード,原因,発揮します,被ります,従事する | doth,do,send,forward,cause,exert,incur,engage
8718 (蜘): クモ | spider
9045 (遅): スロー,遅く,バック,後で | slow,late,back,later
99B3 (馳): ラン,ギャロップ,帆,ドライブ（ワゴン）,勝利（名声）,急送 | run,gallop,sail,drive (a wagon),win (fame),despatch
7BC9 (築): 作ります,ビルド,構築します | fabricate,build,construct
755C (畜): 家畜,国内の家禽や動物 | livestock,domestic fowl and animals
7AF9 (竹): 竹 | bamboo
7B51 (筑): 古代の楽器 | an ancient musical instrument
84C4 (蓄): 蓄えます,レイズ,買いだめ,格納 | amass,raise,hoard,store
9010 (逐): 追求します,追い払います,追跡,成し遂げます,達成します,コミット | pursue,drive away,chase,accomplish,attain,commit
79E9 (秩): 規則性,給料,注文 | regularity,salary,order
7A92 (窒): 塞ぎます,妨害します | plug up,obstruct
8336 (茶): お茶 | tea
5AE1 (嫡): 合法的な妻,直系（非ろくでなし） | legitimate wife,direct descent (non-bastard)
7740 (着): ドン,到着します,着る,衣類のスーツのためのカウンタ | don,arrive,wear,counter for suits of clothing
4E2D (中): に,内部,中間,平均,センター | in,inside,middle,mean,center
4EF2 (仲): 仲介者,関係 | go-between,relationship
5B99 (宙): 中空,空気,スペース,空,暗記,時間的間隔 | mid-air,air,space,sky,memorization,interval of time
5FE0 (忠): 忠誠心,忠実,忠実 | loyalty,fidelity,faithfulness
62BD (抽): 摘みます,引く,エキス,エクセル | pluck,pull,extract,excel
663C (昼): 昼間,正午 | daytime,noon
67F1 (柱): 柱,役職,シリンダー,サポート | pillar,post,cylinder,support
6CE8 (注): 注ぐ,かんがいします,流した（涙）,流れ込みます,集中する,ノート,コメント,注釈を付けます | pour,irrigate,shed (tears),flow into,concentrate on,notes,comment,annotate
866B (虫): 昆虫,バグ,気性 | insect,bug,temper
8877 (衷): 心の奥の,ハート,マインド,内部 | inmost,heart,mind,inside
8A3B (註): ノート,コメント,注釈を付けます | notes,comment,annotate
914E (酎): 日本酒 | sake
92F3 (鋳): 鋳造,ミント | casting,mint
99D0 (駐): ストップオーバー,に常駐,居住者 | stop-over,reside in,resident
6A17 (樗): 日本のビーズツリー | Japanese bead tree
7026 (瀦): プール,水たまり | pool,puddle
732A (猪): イノシシ | boar
82E7 (苧): 麻,亜麻 | hemp,flax
8457 (著): 名高いです,パブリッシュ,書きます,顕著,驚異的な,着る,ドン,着る,到着,仕上げ（レース）,衣類のスーツのためのカウンタ,文学作品 | renowned,publish,write,remarkable,phenomenal,put on,don,wear,arrival,finish (race),counter for suits of clothing,literary work
8CAF (貯): 貯蓄,格納,で横たわっていました,キープ,口ひげを着用 | savings,store,lay in,keep,wear mustache
