5F14 (弔): 哀悼の意,喪,葬儀 | condolences,mourning,funeral
5F35 (張): 延ばします,弓＆アンペアのためのカウンタと、 弦楽器,ストレッチ,スプレッド,（10トン）を我慢 | lengthen,counter for bows &amp; stringed instruments,stretch,spread,put up (tent)
5F6B (彫): 彫ります,刻みます,彫刻刀 | carve,engrave,chisel
5FB4 (徴): 適応症,符号,前兆,症状,収集します,シーク,を参照してください。,質問 | indications,sign,omen,symptom,collect,seek,refer to,question
61F2 (懲): 刑法の,懲らしめます,罰します,規律 | penal,chastise,punish,discipline
6311 (挑): チャレンジ,争います,に愛を作ります | challenge,contend for,make love to
66A2 (暢): ストレッチ | stretch
671D (朝): 朝,王朝,政権,エポック,期間,（北朝鮮 | morning,dynasty,regime,epoch,period,(North) Korea
6F6E (潮): 潮,塩水,機会 | tide,salt water,opportunity
7252 (牒): ラベル,系譜,円形の | label,genealogy,circular
753A (町): タウン,村,ブロック,通り | town,village,block,street
773A (眺): 見詰める,時計,見る,見る,精査します | stare,watch,look at,see,scrutinize
8074 (聴): 聴く,頑固な,いたずらな,慎重に調査 | listen,headstrong,naughty,careful inquiry
8139 (脹): 拡張させます,膨張させます,膨らみ,記入します,うねり | dilate,distend,bulge,fill out,swell
8178 (腸): 腸,ガッツ,腸,内臓 | intestines,guts,bowels,viscera
8776 (蝶): バタフライ | butterfly
8ABF (調): 曲,トーン,メーター,キー（音楽）,文体,準備します,追い払います,調査する,ハーモナイズ,介在します | tune,tone,meter,key (music),writing style,prepare,exorcise,investigate,harmonize,mediate
8ADC (諜): 探り出します,偵察 | spy out,reconnoiter
8D85 (超): 超越します,スーパー-,ウルトラ- | transcend,super-,ultra-
8DF3 (跳): ホップ,跳ね上がります,春,ジャーク,意気揚々と歩きます,バック,スプラッシュ,スパッタします,スナップ | hop,leap up,spring,jerk,prance,buck,splash,sputter,snap
929A (銚): 徳利 | sake bottle
9577 (長): 長いです,リーダー,優れました,上級 | long,leader,superior,senior
9802 (頂): 頭の上に置きます,受け取ります,頭頂,上,サミット,ピーク | place on the head,receive,top of head,top,summit,peak
9CE5 (鳥): 鳥,チキン | bird,chicken
52C5 (勅): 帝命 | imperial order
6357 (捗): 進歩する | make progress
76F4 (直): すぐに,正直,率直,修正します,修復 | straightaway,honesty,frankness,fix,repair
6715 (朕): 雄大な複数,皇帝たち | majestic plural,imperial we
6C88 (沈): シンク,水没します,静まります,落ち込んで,アロエ | sink,be submerged,subside,be depressed,aloes
73CD (珍): レア,好奇心の強いです,奇妙な | rare,curious,strange
8CC3 (賃): 運賃,代,雇う,家賃,賃金,電荷 | fare,fee,hire,rent,wages,charge
93AE (鎮): 鎮静します,古代の平和維持センター | tranquilize,ancient peace-preservation centers
9673 (陳): 示す,状態,関連します,説明します | exhibit,state,relate,explain
6D25 (津): 避難所,ポート,港,フェリー | haven,port,harbor,ferry
589C (墜): クラッシュ,落ちる） | crash,fall (down)
690E (椎): シイ,マレット,脊椎 | chinquapin,mallet,spine
69CC (槌): ハンマー,マレット | hammer,mallet
8FFD (追): 追跡,追い払います,続きます,追求します,その間 | chase,drive away,follow,pursue,meanwhile
939A (鎚): ハンマー,マレット | hammer,mallet
75DB (痛): 痛み,傷つけます,損傷,あざ | pain,hurt,damage,bruise
901A (通): トラフィック,通過します,大通り,通勤,手紙のためのカウンタ,ノート,ドキュメント,等 | traffic,pass through,avenue,commute,counter for letters, notes, documents, etc.
585A (塚): ヒロック,マウンド | hillock,mound
6802 (栂): ヘムロック,（kokuji） | hemlock,(kokuji)
63B4 (掴): キャッチ,つかみます,把握,ホールド,逮捕,キャプチャー | catch,seize,grasp,hold,arrest,capture
