52D5 (動): 移動,モーション,変化する,混乱,シフト,振ります | move,motion,change,confusion,shift,shake
540C (同): 同じ,同意します,等しい | same,agree,equal
5802 (堂): 公共室,ホール | public chamber,hall
5C0E (導): ガイダンス,リーディング,行動,アッシャー | guidance,leading,conduct,usher
61A7 (憧): 憧れる,以下のための長いです,を熱望,感心します,崇拝します | yearn after,long for,aspire to,admire,adore
649E (撞): 推力,ピアス,刺します,刺します | thrust,pierce,stab,prick
6D1E (洞): デン,洞窟,発掘 | den,cave,excavation
77B3 (瞳): 瞳（目の） | pupil (of eye)
7AE5 (童): 少年,子 | juvenile,child
80F4 (胴): トランク,胴体,船体（船）,ホイールのハブ | trunk,torso,hull (ship),hub of wheel
8404 (萄): ブドウのつる,野生のブドウ | grape vine,wild grape
9053 (道): 道路通行,通り,地区,旅,コース,道徳,教え | road-way,street,district,journey,course,moral,teachings
9285 (銅): 銅 | copper
5CE0 (峠): 山頂,峠,クライマックス,クレスト,（kokuji） | mountain peak,mountain pass,climax,crest,(kokuji)
9D07 (鴇): 雁,売春宿のマダム,トキ | wild goose,madam of a brothel,crested ibis
533F (匿): 隠す,シェルター,シールド | hide,shelter,shield
5F97 (得): 利得,取得する,見つけます,獲得します,取得します,できる,かもしれません,することができます,利益,利点,利益 | gain,get,find,earn,acquire,can,may,able to,profit,advantage,benefit
5FB3 (徳): 慈悲,美徳,善,指揮に関して | benevolence,virtue,goodness,commanding respect
6D9C (涜): 汚します,冒とくします,溝 | defile,blaspheme,ditch
7279 (特): 特別 | special
7763 (督): コーチ,コマンド,衝動,鉛,監督します | coach,command,urge,lead,supervise
79BF (禿): はげになります,裸,すり減らします,浪費します,売春宿で​​使用少女 | become bald,bare,wear out,waste away,little girl employed at a brothel
7BE4 (篤): 熱烈な,種類,心のこもった,深刻,意図的な | fervent,kind,cordial,serious,deliberate
6BD2 (毒): 毒,ウイルス,毒,胚芽,害,損傷,にもかかわらず | poison,virus,venom,germ,harm,injury,spite
72EC (独): シングル,一人で,自発的に,ドイツ | single,alone,spontaneously,Germany
8AAD (読): 読む | read
6803 (栃): マロニエ,（kokuji） | horse chestnut,(kokuji)
6A61 (橡): マロニエ | horse chestnut
51F8 (凸): 凸面,カブトムシ眉,平らでありません | convex,beetle brow,uneven
7A81 (突): 刺します,突き出ました,推力,ピアス,刺します,衝突,突然 | stab,protruding,thrust,pierce,prick,collision,sudden
6934 (椴): モミ | fir
5C4A (届): 届けます,リーチ,到着します,報告する,通知します,フォワード | deliver,reach,arrive,report,notify,forward
9CF6 (鳶): トビ,消防士,フック | black kite,fireman,hook
82EB (苫): ラッシュマット | rush matting
5BC5 (寅): 虎の兆候,3-5AM,干支の第三の兆候 | sign of the tiger,3-5AM,third sign of Chinese zodiac
9149 (酉): 西,鳥,鳥の兆候,5-7PM,干支の第十兆候,日本酒ラジカル（NO。164） | west,bird,sign of the bird,5-7PM,tenth sign of Chinese zodiac,sake radical (no. 164)
701E (瀞): 純水,清水,川でのプール | pure water,clear water,pool in a river
5678 (噸): トン数,（kokuji） | tonnage,(kokuji)
5C6F (屯): 兵舎,警察署,キャンプ,トン | barracks,police station,camp,ton
