50FB (僻): 偏見,バイアス,農村地域 | prejudice,bias,rural area
58C1 (壁): 壁,ライニング（胃）,フェンス | wall,lining (stomach),fence
7656 (癖): マンネリ,習慣,バイス,トレイト,障害,よじれ | mannerism,habit,vice,trait,fault,kink
78A7 (碧): 青,緑 | blue,green
5225 (別): 別,分岐します,発散します,フォーク,別の,余分な,特に | separate,branch off,diverge,fork,another,extra,specially
77A5 (瞥): チラッと見ます | glance at
8511 (蔑): 無視します,軽蔑します,ネグレクト,冷やかし | ignore,despise,neglect,ridicule
7B86 (箆): へら,矢印シャフト | spatula,arrow shaft
504F (偏): 部分的,側,左サイドラジカル,傾斜,バイアスされました | partial,side,left-side radical,inclining,biased
5909 (変): 珍しいです,変化する,奇妙な | unusual,change,strange
7247 (片): 一方的な,葉,シート,右側カタラジカル（NO。91） | one-sided,leaf,sheet,right-side kata radical (no. 91)
7BC7 (篇): ボリューム,章,本,編集,コンピレーション | volume,chapter,book,editing,compilation
7DE8 (編): コンピレーション,ニット,ひだ,組紐,ねじれ,編集,編,本の一部 | compilation,knit,plait,braid,twist,editing,completed poem,part of a book
8FBA (辺): 環境,境界,境界,近傍 | environs,boundary,border,vicinity
8FD4 (返): リターン,回答,フェード,返済します | return,answer,fade,repay
904D (遍): どこにでも,回,広く,一般に | everywhere,times,widely,generally
4FBF (便): 利便性,施設,糞,糞便,文字,チャンス | convenience,facility,excrement,feces,letter,chance
52C9 (勉): 努力,努力,奨励します,努力します,努力します,勤勉な | exertion,endeavour,encourage,strive,make effort,diligent
5A29 (娩): クマ（子供） | bear (children)
5F01 (弁): バルブ,花弁,組紐,スピーチ,方言,差別,処分します,区別する,円錐形のキャップ | valve,petal,braid,speech,dialect,discrimination,dispose of,distinguish,conical cap
97AD (鞭): ホイップ,ロッド,whippingsためのカウンタ | whip,rod,counter for whippings
4FDD (保): 守ります,保証,キープ,保存します,サスティーン,サポート | protect,guarantee,keep,preserve,sustain,support
8217 (舗): ショップ,格納,舗装 | shop,store,pave
92EA (鋪): ショップ,格納 | shop,store
5703 (圃): 庭園,フィールド | garden,field
6355 (捕): キャッチ,キャプチャー | catch,capture
6B69 (歩): 歩く,手順については、カウンタ | walk,counter for steps
752B (甫): 初めて,ないまで | for the first time,not until
88DC (補): 補足,供給,良くする,オフセット,補います,アシスタント,学習者 | supplement,supply,make good,offset,compensate,assistant,learner
8F14 (輔): 助けて | help
7A42 (穂): 耳,耳（穀物）,頭,クレスト（波） | ear,ear (grain),head,crest (wave)
52DF (募): リクルート,キャンペーン,ギャザー（貢献）,入隊します,暴力的な成長 | recruit,campaign,gather (contributions),enlist,grow violent
