9065 (遥): 大きく外れて,遠く,ずっと前に | far off,distant,long ago
967D (陽): 日光,陽原則,ポジティブ,男性,天国,昼間 | sunshine,yang principle,positive,male,heaven,daytime
990A (養): フォスター,持ってくる,リア,開発します,育成 | foster,bring up,rear,develop,nurture
617E (慾): 貪欲,貪欲,情熱,慾望,渇望 | covetousness,greed,passion,desire,craving
6291 (抑): 抑制する,よく,今,まず第一に,押す,押し込みます,押す,シール,にも関わらず行います | repress,well,now,in the first place,push,shove,press,seal,do in spite of
6B32 (欲): 憧れ,貪欲,貪欲,情熱,慾望,渇望 | longing,covetousness,greed,passion,desire,craving
6C83 (沃): 肥沃 | fertility
6D74 (浴): 入浴,で好まれます,で浴します | bathe,be favored with,bask in
7FCC (翌): 以下,次 | the following,next
7FFC (翼): 翼,飛行機,脇腹 | wing,plane,flank
6DC0 (淀): プール,渦 | pool,eddy
7F85 (羅): ガーゼ,薄絹,ローマ,アレンジ,広がります | gauze,thin silk,Rome,arrange,spread out
87BA (螺): 小さい,食用,螺旋状の淡水軟体動物 | small, edible, helical fresh-water mollusk
88F8 (裸): 裸,ヌード,発見,部分的に服を着 | naked,nude,uncovered,partially clothed
6765 (来): 来ます,原因,次,原因,なります | come,due,next,cause,become
83B1 (莱): アカザ,アカザ | goosefoot,pigweed
983C (頼): 信頼,要求 | trust,request
96F7 (雷): サンダー,稲妻 | thunder,lightning bolt
6D1B (洛): 京都,首都 | Kyoto,the capital
7D61 (絡): 絡まります,巻き付きます,巻き込まれる | entwine,coil around,get caught in
843D (落): 秋,ドロップ,降りてくる,村,ハムレット | fall,drop,come down,village,hamlet
916A (酪): 乳製品,乳清,ブロス,フルーツジュース | dairy products,whey,broth,fruit juice
4E71 (乱): 暴動,戦争,障害,ディスターブ | riot,war,disorder,disturb
5375 (卵): 卵,卵子,スポーン,卵 | egg,ovum,spawn,roe
5D50 (嵐): 嵐,嵐 | storm,tempest
6B04 (欄): カラム,手すり,ブランク,スペース | column,handrail,blank,space
6FEB (濫): 過度の,オーバーフロー,広がります | excessive,overflow,spread out
85CD (藍): インジゴ | indigo
862D (蘭): 蘭,オランダ | orchid,Holland
89A7 (覧): 熟読,見る | perusal,see
5229 (利): 利益,利点,利益 | profit,advantage,benefit
540F (吏): 役員,公式 | officer,an official
5C65 (履): 実行します,コンプリート,下足,靴,ブーツ,（足を）置きます | perform,complete,footgear,shoes,boots,put on (the feet)
674E (李): 梅 | plum
68A8 (梨): ナシの木 | pear tree
7406 (理): 論理,配置,理由,正義,真実 | logic,arrangement,reason,justice,truth
7483 (璃): ガラス状の,ラピスラズリ | glassy,lapis lazuli
75E2 (痢): 下痢 | diarrhea
88CF (裏): バック,中に,に,逆,内部,手のひら,唯一,リア,裏地,間違った側 | back,amidst,in,reverse,inside,palm,sole,rear,lining,wrong side
88E1 (裡): 逆,内部,手のひら,唯一,リア,裏地,間違った側 | reverse,inside,palm,sole,rear,lining,wrong side
91CC (里): 里,村,親の家,リーグ | ri,village,parent\'s home,league
96E2 (離): デタッチ,分離,分けます,脱線します | detach,separation,disjoin,digress
9678 (陸): 土地,6 | land,six
5F8B (律): リズム,法律,規制,ゲージ,コントロール | rhythm,law,regulation,gauge,control
7387 (率): 比,レート,割合,％,係数,因子 | ratio,rate,proportion,%,coefficient,factor
7ACB (立): 立ち上がる,上昇,セットアップ,直立 | stand up,rise,set up,erect
844E (葎): つる,末尾の植物,ブドウの木 | creepers,trailing plants,vines
63A0 (掠): 略奪,奪います,グレイズ,スキム,掠めます,カンニング,ヒント | pillage,rob,graze,skim,sweep over,cheat,hint
7565 (略): 略語,省略,アウトライン,短くします,キャプチャー,略奪 | abbreviation,omission,outline,shorten,capture,plunder
5289 (劉): 戦争の武器,ロギング斧,大挙殺します,壁をオフにペイント（剥離,等）,まばらな,色あせました | weapon of war,logging axe,kill en masse,peeling (paint off a wall, etc),sparse,faded
6D41 (流): 現在,シンク,フロー,没収 | current,a sink,flow,forfeit
6E9C (溜): 収集します,ギャザー,溜ります | collect,gather,be in arrears
7409 (琉): 宝石,宝石,ラピスラズリ | precious stone,gem,lapis lazuli
7559 (留): 拘留します,留めます,停止,やめる | detain,fasten,halt,stop
786B (硫): 硫黄 | sulphur
7C92 (粒): 穀類,ドロップ,小さな粒子のためのカウンタ | grains,drop,counter for tiny particles
9686 (隆): こぶ,高い,ノーブル,繁栄 | hump,high,noble,prosperity
7ADC (竜): ドラゴン,インペリアル | dragon,imperial
9F8D (龍): ドラゴン,インペリアル | dragon,imperial
4FB6 (侶): コンパニオン,フォロワー | companion,follower
