513F (儿): 足ラジカル（NO。10） | legs radical (no. 10)
5140 (兀): 高＆＃038; レベル,高尚な,はげました,危険な | high &amp; level,lofty,bald,dangerous
5152 (兒): 子,児 | child,young of animals
514C (兌): 交換 | exchange
5154 (兔): ウサギ,野ウサギ | rabbit,hare
5162 (兢): 個別の,注意深いです | discreet,careful
7AF8 (竸): コンテスト,レース | contest,race
5169 (兩): 日本の古いコイン,どちらも,車のためのカウンタ,二 | old Japanese coin,both,counter for vehicles,two
516A (兪): スチール | steal
516E (兮): EUPHONYまたは強調のための補助的な単語 | auxiliary word for euphony or emphasis
5180 (冀): 望む,希望,河北省 | hope for,wish,Hebei province
5182 (冂): 逆さまボックスラジカル（NO。13） | upside-down box radical (no. 13)
56D8 (囘): 円形 | round
518C (册): 冊,ボリューム | counter for books,volume
5189 (冉): 赤,日焼け | red,tan
518F (冏): 光,クリア,鮮やか | light,clear,bright
5191 (冑): ヘルメット | helmet
5193 (冓): まとめる,大奥 | put together,inner palace
5195 (冕): クラウン | crown
5196 (冖): ワット形のクラウンラジカル（NO。14） | wa-shaped crown radical (no. 14)
51A4 (冤): 冤罪,憎しみ | false charge,hatred
51A6 (冦): 敵,敵,復讐,恨み,確執 | foe,enemy,revenge,grudge,feud
51A2 (冢): マウンド,ヒロック | mound,hillock
51A9 (冩): 書きます,ドロー,スケッチ,構成します | write,draw,sketch,compose
51AA (冪): パワー,指数 | power,exponent
51AB (冫): 2ストローク水ラジカルまたはアイスラジカル（NO。15） | two-stroke water radical or ice radical (no. 15)
51B3 (决): 決めます,決定します,裁判官 | decide,determine,judge
51B1 (冱): フリーズ,冴えます,明確にします,スキルを達成 | freeze,be cold,be clear,attain skill
51B2 (冲): 沖,外海,空高く上昇 | offing,open sea,rise high into sky
51B0 (冰): 氷,雹 | ice,hail
51B5 (况): さらに多くの,まだ少ないです | still more,still less
51BD (冽): コールド | cold
51C5 (凅): 枯れます,ドループ,ラメ | wither,droop,lame
51C9 (凉): とても涼しいです | nice and cool
51DB (凛): コールド | cold
51E0 (几): 表,テーブル筐体,テーブルや風の強いラジカル（NO。16） | table,table enclosure,table or windy radical (no. 16)
8655 (處): 場所,ロケール,部門 | place,locale,department
51E9 (凩): 冬の風,（kokuji） | wintry wind,(kokuji)
51ED (凭): 寄り掛かります,寄り掛かります,凭れます | lean on,recline on,lie heavy
51F0 (凰): 凰 | female phoenix bird
51F5 (凵): オープンボックスエンクロージャ,オープンボックスラジカル（NO。17） | open box enclosure,open box radical (no. 17)
51FE (凾): ボックス | box
5204 (刄): 刃,剣,エッジ | blade,sword,edge
520B (刋): カット,削ります | cut,whittle
5214 (刔): かき出します,えぐります | scoop out,gouge
520E (刎): 首をはねます | decapitate
5227 (刧): 脅威,長い年齢 | threat,long ages
522A (刪): 切り倒します | cut down
522E (刮): 削り取ります | scrape off
5233 (刳): クリア,穏やかな,コールド | clear,serene,cold
5239 (刹): 寺院 | temple
524F (剏): ベギン,破損します,ブレーク,秋 | begin,be damaged,break,fall
5244 (剄): 断頭 | beheading
524B (剋): 勝利 | victory
524C (剌): 反対,バイアスされました | opposed,biased
525E (剞): 彫ります | carve
5254 (剔): 切断 | cutting
526A (剪): クリップ,スニップ,カット | clip,snip,cut
5274 (剴): 大鎌,適合 | scythe,suitability
5269 (剩): 残り物,残基,遺跡 | leftovers,residue,remains
5273 (剳): 鎌,滞在,残ります | sickle,stay,remain
527F (剿): 破壊する | destroy
527D (剽): 脅威 | threat
528D (劍): 剣 | sword
