55AE (單): 1,シングル,シンプル | one,single,simple
557C (啼): 樹皮,チャープ,泣く | bark,chirp,cry
5583 (喃): おしゃべり,上のガラガラ | chatter,rattle on
55A9 (喩): メタファー,比較します | metaphor,compare
5587 (喇): おしゃべり,上のガラガラ | chatter,rattle on
55A8 (喨): 澄んだ声 | clear voice
55DA (嗚): 泣きます,ああ,悲しいかな | weep,ah,alas
55C5 (嗅): 香り,スニッフ,香り | smell,sniff,scent
55DF (嗟): 満足すること,悲しみます,ああ | be satisfied,grieve,ah
55C4 (嗄): ハスキー | hoarse
55DC (嗜): 以下のような,味,控えめな | like,taste,modest
55E4 (嗤): 笑い,冷やかし | laugh,ridicule
55D4 (嗔): 怒ります | be angry
5614 (嘔): 嘔吐,吐き気 | vomit,nauseated
55F7 (嗷): うるさい | noisy
5616 (嘖): 叱る,苦しめる,懲らしめます | scold,torment,chastise
55FE (嗾): SIC \ '日,卵の上,扇動します | sic\'em,egg on,instigate
55FD (嗽): リンス,ウォッシュ,うがい | rinse,wash,gargle
561B (嘛): 小麦 | wheat
55F9 (嗹): バリュアブル,とりとめのありません | voluble,garrulous
564E (噎): チョーク,もみ消します | choke,smother
5650 (噐): 容器,レセプタクル,実装します,楽器,能力 | vessel,receptacle,implement,instrument,ability
71DF (營): キャンプ,実行します,ビルド,実施（ビジネス） | camp,perform,build,conduct (business)
5634 (嘴): 嘴,ビル | beak,bill
5636 (嘶): いななき,泣き言を言います | neigh,whinny
5632 (嘲): 冷やかし,侮辱 | ridicule,insult
5638 (嘸): どうやって,確かに,私が言ってみます | how,indeed,I dare say
566B (噫): 叫び声,げっぷ,げっぷ | exclamation,burp,belch
5664 (噤): 黙れ | shut up
562F (嘯): とどろき,遠ぼえ,感情的に暗唱,無関心を装います | roar,howl,recite emotionally,feign indifference
566C (噬): 一口 | bite
566A (噪): うるさいこと | be noisy
5686 (嚆): コール | call
5680 (嚀): 親切 | kindness
568A (嚊): 鼻から呼吸,鼻息,妻,1 \ 'sの老婦人 | breathing through the nose,snorting,wife,one\'s old lady
56A0 (嚠): クリアな音声 | a clear sound
5694 (嚔): くしゃみ | sneeze
568F (嚏): くしゃみ | sneeze
56A5 (嚥): 飲み込む | swallow
56AE (嚮): ガイド,直接,傾向がある,好意 | guide,direct,incline to,favor
56B6 (嚶): チャーピング,一緒に鳥のさえずり | chirping,birds singing together
56B4 (嚴): 厳密性,重症度,剛性 | strictness,severity,rigidity
