63C4 (揄): 引く,からかう,と遊ぶ | pull,tease,play with
6416 (搖): 振ります,スイング,波,振ります,頭蓋骨 | wag,swing,wave,shake,scull
6434 (搴): 取る,ホイスト,引き出す,シュリンク | take,hoist,pull out,shrink
6406 (搆): 引く,原因 | pull,cause
6413 (搓): 組紐,カット | braid,cut
6426 (搦): バインド,ネクタイ,約 | bind,tie,approx.
6436 (搶): 推力,ポーク,一緒になります,アセンブル | thrust,poke,come together,assemble
651D (攝): サロゲート,に加えて行動します | surrogate,act in addition to
6417 (搗): ポンド,殻 | pound,husk
6428 (搨): トレース,石碑文のコピーをこすります | trace,rub a copy of a stone inscription
640F (搏): つかみます,飛び掛かります,ストライク | seize,spring upon,strike
6467 (摧): ブレーク,スマッシュ,クラッシュ,おなじみの,人気のあります | break,smash,crush,familiar,popular
646F (摯): 贈り物,深刻 | gift,seriousness
6476 (摶): ボールにロール,平手打ち | roll into a ball,slap
644E (摎): 束に結び付けます,巻き付きます | tie into a bundle,coil around
652A (攪): ディスターブ,混乱に投げます | disturb,throw into confusion
6495 (撕): 警告します,ブレーク,引き裂きます,涙 | warn against,break,rend,tear
6493 (撓): ベンド,列車,しなやかな | bend,train,lithe
64A5 (撥): 身なりを整える,拒否する,除外する,取り除きます,骨バチ | brush up,reject,exclude,eliminate,bone plectrum
64A9 (撩): 障害 | disorder
6488 (撈): トロール | catch fish
64BC (撼): 移動 | move
64DA (據): 占めるように,所有権を取ります,ベース | to occupy,take possession of,a base
64D2 (擒): キャプチャー,キャプティブ | capture,a captive
64C5 (擅): 自己中心的な | self-indulgent
64C7 (擇): 選択します,選ぶ,選ぶ | select,choose,pick out
64BB (撻): ホイップ,フログ,ストライク | whip,flog,strike
64D8 (擘): 引き裂く | tear up
64C2 (擂): グラインド,マッシュ,火格子 | grind,mash,grate
64F1 (擱): 横になる,下に置きます | lay down,put down
64E7 (擧): レイズ,計画,プロジェクト,動作,行動 | raise,plan,project,behavior,actions
8209 (舉): レイズ,計画,プロジェクト,動作,行動 | raise,plan,project,behavior,actions
64E0 (擠): 押しのけます | push aside
64E1 (擡): リフト,レイズ | lift,raise
62AC (抬): リフト,キャリー | lift,carry
64E3 (擣): ポンド | pound
64EF (擯): プッシュ（人）バック,拒否する | push (people) back,reject
652C (攬): （手に）ホールド | hold (in hand)
64F6 (擶): まっすぐに（矢印） | straighten (an arrow)
64F4 (擴): 広げる,延長する,拡大します,拡大します | broaden,extend,expand,enlarge
64F2 (擲): ヒット,辞職します | hit,resign
64FA (擺): 押し開けます | push open
