8E1E (踞): しゃがみます,縮こまります | crouch,cower
8E10 (踐): 踏む,トランプル,練習,やり遂げます | step on,trample,practice,carry through
8E1F (踟): ためらいます | hesitate
8E42 (蹂): 踏む | step on
8E35 (踵): ヒール | heel
8E30 (踰): 越えて行く | go beyond
8E34 (踴): ジャンプ,ダンス,跳躍,スキップ | jump,dance,leap,skip
8E4A (蹊): パス | path
8E47 (蹇): 不具 | cripple
8E49 (蹉): つまずきます | stumble
8E4C (蹌): 移動,よろめき | move,stagger
8E50 (蹐): 忍び足 | stealthy footsteps
8E48 (蹈): 踏む,トランプル,やり遂げます,評価します,引っ掛けます | step on,trample,carry through,appraise,evade payment
8E59 (蹙): タイトな場所,顔をしかめます,近づきます | a tight place,scowl,approaching
8E64 (蹤): 足跡,形跡,トラック | footprints,traces,tracks
8E60 (蹠): 足の裏 | sole of foot
8E2A (踪): 遺跡,手掛かり,フットプリント | remains,clue,footprint
8E63 (蹣): 驚異的,ぐらつきます | staggering,tottering
8E55 (蹕): 行列に王の前に1 | one who preceeds king in procession
8E76 (蹶): つまずきます | stumble
8E72 (蹲): しゃがみます,スクワット,縮こまります | crouch,squat,cower
8E7C (蹼): webfoot,ウェブ | webfoot,web
8E81 (躁): うるさい | noisy
8E87 (躇): ためらいます | hesitate
8E85 (躅): 足でタップ,廃墟 | tap with the feet,ruins
8E84 (躄): クロール,不具 | crawl,cripple
8E8B (躋): 登る | climb
8E8A (躊): ためらいます | hesitate
8E93 (躓): つまずきます | stumble
8E91 (躑): スクワット,かかとの上に座ります,ぶらつきます | squat,sit on heels,loiter
8E94 (躔): 天を通して太陽/月の動き | movement of the sun/moon through the heavens
8E99 (躙): 前縁,トランプル | edge forward,trample
8EAA (躪): 前縁,トランプル | edge forward,trample
8EA1 (躡): 踏む | step on
8EAC (躬): 体,自己 | body,self
8EB0 (躰): ボディ,物質,オブジェクト,現実 | the body,substance,object,reality
8EC6 (軆): 体,グループ,クラス,単位 | body,group,class,unit
8EB1 (躱): ドッジ,受け流し,避ける | dodge,parry,avoid
8EBE (躾): トレーニング,（kokuji） | training,(kokuji)
8EC5 (軅): もうすぐ,現在,ほとんど,ほとんど,に過ぎません,結局,ファルコン,タカ | soon after,presently,almost,all but,no more than,after all,falcoln,hawk
